Country,Region,Happiness_Rank,Happiness_Score,Economy_GDP,Family,Life_Expectancy,Freedom,Trust_in_Gov,Generosity,Dystopia_Residual,Year
Finland,nan,1,7.769,1.34,nan,0.986,0.596,0.393,0.153,nan,2019
Denmark,nan,2,7.6,1.383,nan,0.996,0.592,0.41,0.252,nan,2019
Norway,nan,3,7.554,1.488,nan,1.028,0.603,0.341,0.271,nan,2019
Iceland,nan,4,7.494,1.38,nan,1.026,0.591,0.118,0.354,nan,2019
Netherlands,nan,5,7.488,1.396,nan,0.999,0.557,0.298,0.322,nan,2019
Switzerland,nan,6,7.48,1.452,nan,1.052,0.572,0.343,0.263,nan,2019
Sweden,nan,7,7.343,1.387,nan,1.009,0.574,0.373,0.267,nan,2019
New Zealand,nan,8,7.307,1.303,nan,1.026,0.585,0.38,0.33,nan,2019
Canada,nan,9,7.278,1.365,nan,1.039,0.584,0.308,0.285,nan,2019
Austria,nan,10,7.246,1.376,nan,1.016,0.532,0.226,0.244,nan,2019
Australia,nan,11,7.228,1.372,nan,1.036,0.557,0.29,0.332,nan,2019
Costa Rica,nan,12,7.167,1.034,nan,0.963,0.558,0.093,0.144,nan,2019
Israel,nan,13,7.139,1.276,nan,1.029,0.371,0.082,0.261,nan,2019
Luxembourg,nan,14,7.09,1.609,nan,1.012,0.526,0.316,0.194,nan,2019
United Kingdom,nan,15,7.054,1.333,nan,0.996,0.45,0.278,0.348,nan,2019
Ireland,nan,16,7.021,1.499,nan,0.999,0.516,0.31,0.298,nan,2019
Germany,nan,17,6.985,1.373,nan,0.987,0.495,0.265,0.261,nan,2019
Belgium,nan,18,6.923,1.356,nan,0.986,0.473,0.21,0.16,nan,2019
United States,nan,19,6.892,1.433,nan,0.874,0.454,0.128,0.28,nan,2019
Czech Republic,nan,20,6.852,1.269,nan,0.92,0.457,0.036,0.046,nan,2019
United Arab Emirates,nan,21,6.825,1.503,nan,0.825,0.598,0.182,0.262,nan,2019
Malta,nan,22,6.726,1.3,nan,0.999,0.564,0.151,0.375,nan,2019
Mexico,nan,23,6.595,1.07,nan,0.861,0.433,0.073,0.074,nan,2019
France,nan,24,6.592,1.324,nan,1.045,0.436,0.183,0.111,nan,2019
Taiwan,nan,25,6.446,1.368,nan,0.914,0.351,0.097,0.242,nan,2019
Chile,nan,26,6.444,1.159,nan,0.92,0.357,0.056,0.187,nan,2019
Guatemala,nan,27,6.436,0.8,nan,0.746,0.535,0.078,0.175,nan,2019
Saudi Arabia,nan,28,6.375,1.403,nan,0.795,0.439,0.132,0.08,nan,2019
Qatar,nan,29,6.374,1.684,nan,0.871,0.555,0.167,0.22,nan,2019
Spain,nan,30,6.354,1.286,nan,1.062,0.362,0.079,0.153,nan,2019
Panama,nan,31,6.321,1.149,nan,0.91,0.516,0.054,0.109,nan,2019
Brazil,nan,32,6.3,1.004,nan,0.802,0.39,0.086,0.099,nan,2019
Uruguay,nan,33,6.293,1.124,nan,0.891,0.523,0.15,0.127,nan,2019
Singapore,nan,34,6.262,1.572,nan,1.141,0.556,0.453,0.271,nan,2019
El Salvador,nan,35,6.253,0.794,nan,0.789,0.43,0.074,0.093,nan,2019
Italy,nan,36,6.223,1.294,nan,1.039,0.231,0.03,0.158,nan,2019
Bahrain,nan,37,6.199,1.362,nan,0.871,0.536,0.11,0.255,nan,2019
Slovakia,nan,38,6.198,1.246,nan,0.881,0.334,0.014,0.121,nan,2019
Trinidad & Tobago,nan,39,6.192,1.231,nan,0.713,0.489,0.016,0.185,nan,2019
Poland,nan,40,6.182,1.206,nan,0.884,0.483,0.05,0.117,nan,2019
Uzbekistan,nan,41,6.174,0.745,nan,0.756,0.631,0.24,0.322,nan,2019
Lithuania,nan,42,6.149,1.238,nan,0.818,0.291,0.042,0.043,nan,2019
Colombia,nan,43,6.125,0.985,nan,0.841,0.47,0.034,0.099,nan,2019
Slovenia,nan,44,6.118,1.258,nan,0.953,0.564,0.057,0.144,nan,2019
Nicaragua,nan,45,6.105,0.694,nan,0.835,0.435,0.127,0.2,nan,2019
Kosovo,nan,46,6.1,0.882,nan,0.758,0.489,0.006,0.262,nan,2019
Argentina,nan,47,6.086,1.092,nan,0.881,0.471,0.05,0.066,nan,2019
Romania,nan,48,6.07,1.162,nan,0.825,0.462,0.005,0.083,nan,2019
Cyprus,nan,49,6.046,1.263,nan,1.042,0.406,0.041,0.19,nan,2019
Ecuador,nan,50,6.028,0.912,nan,0.868,0.498,0.087,0.126,nan,2019
Kuwait,nan,51,6.021,1.5,nan,0.808,0.493,0.097,0.142,nan,2019
Thailand,nan,52,6.008,1.05,nan,0.828,0.557,0.028,0.359,nan,2019
Latvia,nan,53,5.94,1.187,nan,0.812,0.264,0.064,0.075,nan,2019
South Korea,nan,54,5.895,1.301,nan,1.036,0.159,0.056,0.175,nan,2019
Estonia,nan,55,5.893,1.237,nan,0.874,0.495,0.161,0.103,nan,2019
Jamaica,nan,56,5.89,0.831,nan,0.831,0.49,0.028,0.107,nan,2019
Mauritius,nan,57,5.888,1.12,nan,0.798,0.498,0.06,0.215,nan,2019
Japan,nan,58,5.886,1.327,nan,1.088,0.445,0.14,0.069,nan,2019
Honduras,nan,59,5.86,0.642,nan,0.828,0.507,0.078,0.246,nan,2019
Kazakhstan,nan,60,5.809,1.173,nan,0.729,0.41,0.096,0.146,nan,2019
Bolivia,nan,61,5.779,0.776,nan,0.706,0.511,0.064,0.137,nan,2019
Hungary,nan,62,5.758,1.201,nan,0.828,0.199,0.02,0.081,nan,2019
Paraguay,nan,63,5.743,0.855,nan,0.777,0.514,0.08,0.184,nan,2019
Northern Cyprus,nan,64,5.718,1.263,nan,1.042,0.417,0.162,0.191,nan,2019
Peru,nan,65,5.697,0.96,nan,0.854,0.455,0.027,0.083,nan,2019
